year_month,crime_count,hpi_value,crime_roll3
2024-10-01,22441,191.873024146227,
2024-11-01,19702,191.211872648458,
2024-12-01,19560,191.742226701118,20567.666666666668
2025-01-01,18408,192.715865149945,19223.333333333332
2025-02-01,16460,193.030133273656,18142.666666666668
2025-03-01,19679,195.774346397615,18182.333333333332
2025-04-01,19542,198.925834543951,18560.333333333332
2025-05-01,20358,202.041273734884,19859.666666666668
2025-06-01,20963,203.968482753988,20287.666666666668
2025-07-01,22429,204.894534206785,21250.0
2025-08-01,20970,205.125908534333,21454.0
