year_month,crime_count,hpi_value
2024-09-01,629,192.888470675368
2024-10-01,22441,191.873024146227
2024-11-01,19702,191.211872648458
2024-12-01,19560,191.742226701118
2025-01-01,18408,192.715865149945
2025-02-01,16460,193.030133273656
2025-03-01,19679,195.774346397615
2025-04-01,19542,198.925834543951
2025-05-01,20358,202.041273734884
2025-06-01,20963,203.968482753988
2025-07-01,22429,204.894534206785
2025-08-01,20970,205.125908534333
