year_month,hpi_value
1992-01-01,73.550908
1992-02-01,74.357688
1992-03-01,74.353611
1992-04-01,73.606212
1992-05-01,73.664419
1992-06-01,74.752035
1992-07-01,75.81324
1992-08-01,75.949813
1992-09-01,75.838718
1992-10-01,75.545866
1992-11-01,75.37771
1992-12-01,74.895145
1993-01-01,75.033363
1993-02-01,75.808304
1993-03-01,76.04705
1993-04-01,76.345679
1993-05-01,76.847218
1993-06-01,77.579359
1993-07-01,78.11856
1993-08-01,78.323174
1993-09-01,78.46881
1993-10-01,78.299452
1993-11-01,77.935375
1993-12-01,78.450934
1994-01-01,80.019033
1994-02-01,80.475373
1994-03-01,80.359372
1994-04-01,79.868391
1994-05-01,80.377309
1994-06-01,80.752871
1994-07-01,81.133186
1994-08-01,81.66348
1994-09-01,81.911014
1994-10-01,82.011783
1994-11-01,81.632818
1994-12-01,81.269552
1995-01-01,80.949794
1995-02-01,81.341061
1995-03-01,81.576178
1995-04-01,81.543628
1995-05-01,81.661444
1995-06-01,82.345275
1995-07-01,82.973805
1995-08-01,83.402909
1995-09-01,83.393651
1995-10-01,83.208477
1995-11-01,83.362684
1995-12-01,83.07414
1996-01-01,83.03675
1996-02-01,82.443561
1996-03-01,82.536633
1996-04-01,83.366338
1996-05-01,83.782257
1996-06-01,84.824397
1996-07-01,85.221295
1996-08-01,85.776022
1996-09-01,85.773622
1996-10-01,85.805648
1996-11-01,85.756622
1996-12-01,85.929604
1997-01-01,85.585982
1997-02-01,85.337643
1997-03-01,85.628317
1997-04-01,85.727918
1997-05-01,85.923473
1997-06-01,86.41571
1997-07-01,87.197712
1997-08-01,87.944457
1997-09-01,88.151857
1997-10-01,88.141037
1997-11-01,88.232055
1997-12-01,88.35597
1998-01-01,89.081585
1998-02-01,89.200482
1998-03-01,89.244386
1998-04-01,89.060388
1998-05-01,89.871149
1998-06-01,91.426341
1998-07-01,92.293987
1998-08-01,92.980363
1998-09-01,92.838275
1998-10-01,92.791484
1998-11-01,91.869636
1998-12-01,91.877028
1999-01-01,91.761707
1999-02-01,91.993441
1999-03-01,91.999941
1999-04-01,93.608209
1999-05-01,95.010561
1999-06-01,96.817808
1999-07-01,97.385868
1999-08-01,98.006393
1999-09-01,98.209765
1999-10-01,99.090906
1999-11-01,99.580288
1999-12-01,99.95444
2000-01-01,100.0
2000-02-01,100.43314
2000-03-01,101.82716
2000-04-01,102.65498
2000-05-01,104.21401
2000-06-01,105.51451
2000-07-01,106.46233
2000-08-01,106.81429
2000-09-01,107.03847
2000-10-01,107.04191
2000-11-01,107.26544
2000-12-01,107.82975
2001-01-01,108.45386
2001-02-01,108.39709
2001-03-01,108.78303
2001-04-01,110.12947
2001-05-01,111.53464
2001-06-01,113.59407
2001-07-01,115.0702
2001-08-01,116.08213
2001-09-01,116.32777
2001-10-01,115.98763
2001-11-01,115.61408
2001-12-01,115.3043
2002-01-01,115.02231
2002-02-01,115.06585
2002-03-01,115.20581
2002-04-01,116.99891
2002-05-01,118.12604
2002-06-01,119.25105
2002-07-01,120.34204
2002-08-01,121.14544
2002-09-01,122.00932
2002-10-01,122.40335
2002-11-01,122.66423
2002-12-01,123.28395
2003-01-01,123.10074
2003-02-01,123.90401
2003-03-01,124.34553
2003-04-01,125.49027
2003-05-01,127.59304
2003-06-01,128.45571
2003-07-01,129.41839
2003-08-01,129.58676
2003-09-01,130.33004
2003-10-01,131.14336
2003-11-01,132.13867
2003-12-01,132.9729
2004-01-01,133.19265
2004-02-01,133.32968
2004-03-01,133.26293
2004-04-01,134.33209
2004-05-01,136.28965
2004-06-01,137.52775
2004-07-01,139.01233
2004-08-01,139.9703
2004-09-01,141.14993
2004-10-01,141.71465
2004-11-01,142.026
2004-12-01,142.32835
2005-01-01,143.04648
2005-02-01,144.0768
2005-03-01,144.91568
2005-04-01,146.16278
2005-05-01,147.73874
2005-06-01,149.56266
2005-07-01,150.8739
2005-08-01,151.40595
2005-09-01,152.69091
2005-10-01,153.40966
2005-11-01,154.73054
2005-12-01,155.16055
2006-01-01,155.55981
2006-02-01,156.18578
2006-03-01,156.03538
2006-04-01,156.77138
2006-05-01,157.57886
2006-06-01,158.37597
2006-07-01,159.13065
2006-08-01,159.82587
2006-09-01,160.14619
2006-10-01,159.57328
2006-11-01,158.68254
2006-12-01,157.72065
2007-01-01,157.24876
2007-02-01,157.36627
2007-03-01,156.87293
2007-04-01,155.91896
2007-05-01,155.98145
2007-06-01,157.07264
2007-07-01,157.90038
2007-08-01,157.96057
2007-09-01,156.53316
2007-10-01,155.11115
2007-11-01,153.47391
2007-12-01,152.29141
2008-01-01,149.17058
2008-02-01,145.96337
2008-03-01,142.97622
2008-04-01,143.89863
2008-05-01,143.89824
2008-06-01,144.45725
2008-07-01,144.14605
2008-08-01,144.3141
2008-09-01,142.72345
2008-10-01,140.50632
2008-11-01,136.72781
2008-12-01,132.5754
2009-01-01,126.55252
2009-02-01,121.754
2009-03-01,118.1306
2009-04-01,119.30295
2009-05-01,121.33332
2009-06-01,122.85999
2009-07-01,125.81679
2009-08-01,127.76985
2009-09-01,129.51151
2009-10-01,127.969
2009-11-01,126.37011
2009-12-01,124.06329
2010-01-01,123.05715
2010-02-01,121.54607
2010-03-01,119.48017
2010-04-01,119.99081
2010-05-01,121.00907
2010-06-01,124.19372
2010-07-01,125.98049
2010-08-01,126.71904
2010-09-01,125.17691
2010-10-01,122.89967
2010-11-01,120.03594
2010-12-01,119.20397
2011-01-01,117.12044
2011-02-01,115.36834
2011-03-01,113.11959
2011-04-01,113.45534
2011-05-01,115.4432
2011-06-01,118.83661
2011-07-01,120.38901
2011-08-01,121.59358
2011-09-01,120.95494
2011-10-01,119.39418
2011-11-01,115.97399
2011-12-01,113.88777
2012-01-01,111.78776
2012-02-01,110.00287
2012-03-01,107.15344
2012-04-01,107.81114
2012-05-01,112.00358
2012-06-01,116.73811
2012-07-01,119.79644
2012-08-01,120.31932
2012-09-01,119.88252
2012-10-01,118.24475
2012-11-01,116.83049
2012-12-01,115.72293
2013-01-01,114.92501
2013-02-01,114.29799
2013-03-01,114.07963
2013-04-01,116.43142
2013-05-01,120.1469
2013-06-01,123.41091
2013-07-01,127.48407
2013-08-01,129.42089
2013-09-01,129.8966
2013-10-01,129.53597
2013-11-01,128.137
2013-12-01,128.01194
2014-01-01,126.02425
2014-02-01,124.71668
2014-03-01,125.19562743083
2014-04-01,127.140677862669
2014-05-01,128.508282015999
2014-06-01,130.333518900752
2014-07-01,131.113138170713
2014-08-01,131.821075136819
2014-09-01,131.143437896612
2014-10-01,129.839896586347
2014-11-01,127.7935370122
2014-12-01,126.64106882907
2015-01-01,126.462219303961
2015-02-01,127.040684809043
2015-03-01,127.706506937322
2015-04-01,128.442863502637
